fouc,f**k off you c**t 
patd,Panic At The Disco
fawk,f**k
msgs,messages
nws,not work safe
pr0nz,porn
u'v,you have
rpita,royal pain in the a**
nwy,no way
4geit,forget it
ukwim,you know what i mean
betch,b***h
lshrn,laughing so hard right now
nwb,a new person
wycm,Will You Call Me
nwj,No Way Jose
shure,sure
wadr,with all due respect
y/n,yes or no
im26c4u,I am too sexy for you
ttyo,talk to you online
lcsnpc,low cost small notebook personal computer
wip,Work In progress
ttyl,talk to you later
swak,sealed with a kiss
lltnt,live like theres no tomorrow 
ttyw,talk to you whenever
aup,acceptable use policy
iaspfm,i am sorry please forgive
me
ttyt,talk to you tomorrow
onud,oh no you didn't
mwf,Married White Female
glnhf,Good Luck and Have Fun
sexilicious,Very Sexy
aatf,always and totally forever
rufkm,are you f**king kidding me
wntd,what not to do
idwtg,I don't want to go
ilysm,i love you so much
@,at
blk,black
wamh,with all my heart
isbya,im sorry but you asked
kthanxbi,Okay, thanks. Bye.
blj,blowjob
omgny,oh my god no way
gmilf,grandmother i'd like to f**k
neway,anyway
gimmie,give me
iyf,In your face
gthyfah,go to hell you f**king a**h**e
nmu,nothing much, you
lgb,lesbian/gay/bisexual
sosdd,same old s**t, different day
l337,elite
iebkac,issue exists between keyboard and chair
voip,voice over ip
lurve,love
mw3,Modern Warfare 3
mw2,modern warfare 2
cml,call me later
iyc,if you can
bbilfm,be back in like five minutes
cmh,Call My House
hcihy,how can I help you
xyz,examine your zipper
mle,emily
g2g2tb,got to go to the bathroom
cmb,comment me back
cma,Cover My a**
lol2u,Laugh out loud to you
roxxor,rock
pr0n,porn
yrusm,Why are you so mean
inbd,it's no big deal
cmw,cutting my wrists
pw,parent watching
cmt,comment
cms,content management system
nemore,Anymore
jalaudlm,just as long as you don't leave me
teotwawki,the end of the world as we know it
intpftpotm,I nominate this post for the post of the month
convo,conversation
lmamf,leave me alone mother f**ker
fubalm,f**ked up beyond all local maintenance
yarly,yeah really
snafu,situation normal all f**ked up
whaletail,thong
lmcao,laughing my crazy a** off
10x,thanks
rln,real life name
ilyvm,i love you very much
gfar2cu,go find a rock to crawl under
bwt,but when though
10q,thank you
nthn,nothing
feck,f**k
rtfq,Read The f**king Question
urstpid,you are stupid
qtpi,cutie pie
irhy,i really hate you
fwob,friends with occasional benefits
b00t,boot
nei,Not enough information
zig,cigarette
tmi,too much information
nmwh,no matter what happens
lrqtms,laughing really quietly to myself
asic,application specific integrated circuit
fud,fear, uncertainty and doubt
yctwuw,you can think what you want
fnci,fancy
h&k,hugs and kisses
kul,cool
ttys,talk to you soon
bnib,Brand new in Box
twttr,twitter
omgwtfit,Oh my God, what the f**k is that
iyq,I like you
jma,just messing around
4hoa,four horsemen of the apocalypse
fcuk,f**k
esadyffb,eat s**t and die you fat f**king b*****d
gng,going
glty,Good luck this year
j2f,just too funny
rlf,Real Life Friend
j2c,just too cute
rotflmfho,rolling on the floor laughing my f**king head off
culd,Could
wthay,who the hell are you
r-tard,retard
dayumm,d**n
meh,whatever
srch,search
naww,no
nawt,not
w8ter,waiter
nomw,not on my watch
wwyt,What were you thinking
heyt,hate
oed,oxford english dictionary
jfgi,just f**king google it
rcsa,right click save as
vweg,very wicked evil grin
noyb,none of your business
sobs,same, old, boring s**t
ssl,secure sockets layer
gthmf,go to hell mothaf**ka
gla,good luck all
k,ok
akp,Alexander King Project
glf,group looking for
roflolbag,Rolling On The Floor Laughing Out Loud Busting A Gut
tv,television
plomb,parents looking over my back
drm,dream
tanq,thank you
ttyn,talk to you never
xlnt,Excellent
rly,really
aka,also known as
gbioua,Go blow it out your a**
4king,f**king
glu,girl like us
4head,forehead
omgicfbi,Oh my god I can't f**king believe it
ywvm,you're welcome very much
sl4n,so long for now
hw,homework
wtfrudoin,what the f**k are you doing
rlg,really loud giggle
dy2h,d**n you to hell
roffles,rolling on floor laughing
ts,talking s**t
bro,brother
iwsul8r,I will see you later
fnny,funny
wieu2,What Is Everyone Up To
brh,be right here
tioli,take it or leave it
brd,bored
txs,thanks
9t,night
<3,love
ily4e,i love you forever
dnd,Do Not Disturb
lymi,love you mean it
tn1,trust no-one
musiq,music
lorl,laugh out real loud
cyl8,see you later
ianalb,I am not a lawyer, but..
dno,don't know
shyat,s**t
plox,please
svu,special victims unit
dnt,don't
dnw,Do not want
butterface,every thing is hot but her face
lwn,last week's news
dns,Domain Name System
ip,internet protocol
plom,parents looking over me
soobs,saggy boobs
sumthin',Something
m9,mine
m8,friend
yaqw,You are quite welcome
cml8r,call me later
pearoast,repost
notin,nothing
wthigo,what the hell is going on
musm,Miss You So Much
comnt,comment
igkymfa,I'm gonna kick your mother f**king a**
less than three,love
lolwtime,laughing out loud with tears in my eyes
tfta,thanks for the add
wev,Whatever
ltp,Lay the pipe
m473z,friends
jmo,just my opinion
jml,just my luck
biatch,b***h
purty,pretty
audy,Are you done yet?
m473s,friends
marvy,marvelous
ltip,laughting until I puke
ywsyls,you win some you lose some
mf,motherf**ker
ciwwaf,cute is what we aim for
mb,my bad
wyas,wow you are stupid
gafm,Get away from me
aiui,as I understand it
ilyb,i love you b***h
mk,mmm....ok
r8t,rate
mu,miss you
ere,here
tnf,That's Not Funny
dafs,do a f**king search
oftn,often
yup,yes
oftc,out for the count
lybo,laugh your butt off
fking,f**king
wmd,Weapons Of Ma** Destruction
wsf,we should f**k
ygg,you go girl
tat2,tattoo
yasfg,you are so f**king gay
indie,independent
roffle out loud,rolling on the floor laughing out loud
wmao,working my a** off
xtra,extra
imhbco,In my humble but correct opinion
uat,User Acceptance Testing
gtsy,good to see you
lmaootf,Laughing my a** off on the floor 
fuxored,f**ked
homie,good friend
wtfaud,what the f**k are you doing?
wtfmf,what the f**k mother f**ker
iawy,I agree with you
icudk,in case you didn't know
plzkthx,Please? OK, Thank you
mml8r,meet me later
boati,Bend Over And Take It
hoas,Hang on a second
thwy,the hell with you!
ltb,looking to buy
ggpaw,gotta go parents are watching
meatspace,the real world
piihb,put it in her butt
hoh,head of household
ttfn,ta ta for now
f#cking,f**king
uaaaa,Universal Association Against Acronym Abuse
tlc,tender loving care
t8st,taste
sk8er,skater
ruok,are you ok?
lal,laughing a little
lam,leave a message
lan,local area network
obgjfioyo,old but good job finding it on your own
foshizzle,for sure
stfugbtw,shut the f**k up and get back to work
lak,love and kisses
bday,birthday
miid,my internet is down
bbml,be back much later
cyl,a,see ya later, alligator
wuwtta,what you want to talk about
pimpl,pissing in my pants laughing
wwgf,when we gonna f**k
gmta,great minds think alike
ova,over
mph,miles per hour
ianabs,I am not a brain surgeon
cmplte,complete
lat,laugh at that
lau,laugh at you
f&e,forever and ever
ugtr,you got that right
ind2p,I need to pee
c14n,canonicalization
wuwt,what's up with that
h82sit,hate to say it
ityltk,I thought you'd like to know
tmtmo,text me tomorrow
roflmbo,rolling on floor laughing my butt off
vff,Verry f**king Funny
brbbrb,br right back bath room break
w2m,want to meet
typ,thank you partner
etla,extended three letter acronym
yasg,you are so gay
ltm,listen to me
ttyiam,talk to you in a minute
swalk,sealed with a loving kiss
luzar,Loser
iwlu4e,I will love you for ever
imts,I meant to say
omfgsh,Oh My f**king Gosh
wuv,love
cybseckz,cyber sex
lazor,laser
wuz,was
icydk,in csae you didn't know
imfao,In My f**king Arrogant Opinion
fifo,first in, first out
rotfl,rolling on the floor laughing
hbic,head b***h in charge
nsfw,not safe for work
nsfu,no sex for you
wthru,Who the heck are you
fify,Fixed It For You
omgih,Oh My God In Heaven
ra3,Red Alert 3 (game)
cwmaos,coffee with milk and one sugar
pplz,people
s3x,Sex.
4evs,forever
4evr,for ever
jsut,just
imb,I am back
fiv,five
sase,self addressed stamped envelope
imh,I am here
iasb,i am so bored
ayagob,are you a girl or boy
wtg,way to go
imo,in my opinion
ilyaas,I Love You As A Sister
4eva,forever
404,Clueless
2morow,tomorrow
clt,Cool Like That
nmjc,not much, just chillin'
fofl,fall on the floor laughing
fio,figure it out
uom,You owe me
lyke,like
rbty,right back to you
skillz,skills
roflmaool,Rolling on the floor laughing my a** off out loud
4get,forget
peoples,people
urmw,you are my world
twbc,that would be cool
rbtl,Read between the lines
wsb,wanna cyber?
owned,made to look bad
tthb,try to hurry back
wuwh,Wish you were here
ihu,I hate you
wtv,Whatever
iigh,alright
yrubm,why are you bugging me?
sosg,spouse over shoulder gone
ifttt,if this then that 
bonr,boner
fi9,fine
wotw,word of the week
rockr,rocker
wshtf,when s**t hits the fan
sl^t,s**t 
wtf,what the f**k
f4f,female for female
wtmf,what the mother f**k
wthyi,what the hell you idiot
som1,someone
f4m,female for male
pleez,please
iwythmb,i want you to have my baby
lmmffao,laughing my mother f**king fat a** off
neways,anyways
luvuvm,love you very much
2dae,today
smexy,sexy
xgf,exgirlfriend
sfsg,So far so good
ufab,ugly fat a** b***h
ttut,Talk to you Tomorrow
ily2,i love you too
rlz,rules
ypom,your place or mine
apreci8,appreciate
tlyk,to let you know
brbn2gbr,Be right back, I need to go to the bathroom
lmfho,laughing my f**king head off
2day,today
nin,no its not
whit,with
ilbbaicnl,I like big butts and I can not lie
l2ms,laughing to myself
yafi,you're a f**king  idiot
gol,giggle out loud
ydtm,You're dead to me
smthin,something
goi,get over it 
mmmkay,okay
gok,God Only Knows
wcutm,what can you tell me
kuwl,cool
wbs,write back soon
dsu,don't screw up
goc,get on camera
gwytose,go waste your time on someone else
nib,new in box
l33t,elite
nite,night
nic,Network Interface Card
rl,real life
rm,room
gow,gears of war
gjsu,god just shut up
smc,suck my c**k
smb,see my blog
2mmrw,tomorrow
sz,sorry
fren,friend
2tali,totally
fcfs,first come first served
nif,non internet friend
nts,note to self
rspct,respect
fave,favorite
ntt,need to talk
ntw,not to worry
ntk,Need to know
ntm,not to much
kiu,Keep it up
ntn,nothing
wgasa,who gives a s**t anyway
kit,keep in touch
lesbo,lesbian
2mozz,tomorrow
rombl,rolled off my bed laughing
dprsd,depressed
atb,all the best
dayum,d**n
siuya, shove it up your a**
iss,im so sorry
ato,against the odds
atl,atlanta
atm,at the moment
r8,rate
iiuc,if I understand correctly
wrud,what are you doing
atw,All the way
wruf,where are you from
dugt,did you get that?
atp,answer the phone
atq,answer the question
uraqt,you are a cutie
imnerho,In my not even remotely humble opinion
pbj,peanut butter and jelly
isg,I speak geek
sfam,Sister from another mother
d&c,divide and conquer
aty,according to you
shmily,see how much i love you
ofwg,old fat white guys
roflmmfao,rolling on the floor laughing my mother f**king a** off
wtfduw,What the f**k do you want?
syu,sex you up
champs,champions
ih8mls,I hate my little sister 
omgzors,oh my god
xcept,except
syt,see you there
enit,isn't  it
loflmao,laying on floor laughing my a** off
wtfever,what the f**k ever
lu2d,love you to death
kfc,kentucky fried chicken
kib,okay, im back
ttiuwiop,this thread is useless without pics
4sho,for sure
mbhsm,My Boobs Hurt So Much
iab,I Am Bored
naw-t,Naughty
nip,nothing in particular
jja,just joking around
dycotfc,do you cyber on the first chat
wadzup,What's up?
reppin,representing
kyko,keep your knickers on
idonno,i do not know
sroucks,that's cool, but it still sucks
dogg,friend
widout,without
nvmd,nevermind
nttawwt,Not that there is anything wrong with that
bbsts,be back some time soon
gtgtb,got to go to bed
twoh,typing with one hand
tok,That's ok
toh,typing one handed
h8t0r,hater
xit,Exit
dmwm,don't mess with me
tob,teacher over back
kewl,cool
hiya,hello 
tku,thank you
slore,s**tty w***e
ybya,you bet your a**
r8pist,rapist
nolm,No one loves me
cmliuw2,call me later if you want to
p@w,parents are watching
kno,know
gtfbtw,get the f**k back to work
idts,i don't think so
tmoz,tomorrow
gfgi,go f**king google it
d00d,dude
bbrs,be back really soon
aicmfp,and I claim my five pounds
kiwf,Kill It With Fire
loto,laughing on the outside
wdywtd,what do you want to do
rofwl,Rolling on the floor while laughing
p3n1s,penis
khitbash,kick her in the box and shove her
iaw,In Another Window
phuk,f**k
po po,police
bebe,baby
idlu,i don't like you
4getu,forget you
potc,pirates of the caribbean
mbf,my best friend
eq2,Everquest2
idly,I don't like you
tbc,To be continued
rofflecopters,rolling on the floor with laughter
dfwmt,Don't f**king waste my time
hayd,how are you doing
w/end,weekend
aiight,all right
rbay,right back at you
cuwul,catch up with you later
idli,I don't like it
ktc,kill the cat
goya,Get Off Your a**
ifthtb,i find that hard to belive
tsnf,that's so not fair
lbr,little boy's room
fcking,f**king
ttly,totally
urstu,you are stupid
rofllh,rolling on the floor laughing like hell
me2,me too
rsn,real soon now
lsudi,Lets see you do it
f'n,f**king
pbly,probably
idkwts,I don't know what to say
ydpos,you dumb piece of s**t
bibifn,bye bye for now
adhd,Attention Deficit Hyperactivity Disorder
p/oed,pissed off
lbh,let's be honest
hago,have a good one
lbo,laughing butt off 
vgl,very good looking
vgn,Video Game Nerd
piw,Parent is watching
cyu,see you
thn,then
fmltwia,f**k me like the w***e I am
xpect,expect
wuwta,what do you want to talk about
hags,have a great summer
haxorz,hackers
luser,user who is a loser
w.b.s.,Write Back Soon
vajayjay,vagina
wbu,what about you
ogw,oh guess what
rhcp,red hot chilli peppers
tyl,text you later
ite,alright
lmfto,laughing my f**kin tits off
bsx,bisexual
roflmiaha,Rolling on the floor laughing myself into a heart attack
ftlt,For the last time
sk8tr,skater
shyt,s**t
u'd,you would
thankies,Thank You
ra2,red alert 2 (game)
ilulafklc,I love you like a fat kid loves cake.
ymmv,your mileage may vary
tyt,take your time
rox,rocks
tinla,this is not legal advice
tcg,Trading Card Game
tgfuap,thank god for unanswered prayers
xpt,except
tldnr,too long, did not read
xb36t,Xbox 360
h8t,hate
don,denial of normal
h80r,hater
udc,you don't care
dob,date of birth
3arc,Treyarch
seks,sex
doa,dead on arrival
m,am
lmho,laughing my heiny off
dod,Day of Defeat
nutin,nothing
wmyb,What Makes You Beautiful
iwfybo,i will f**k your brains out
gtgfn,got to go for now
nbdy,nobody
sagn,Spelling and Grammar Nazi
dos,denial of service
te,Team effort
un4rtun8ly,unfortunately
wwt,what was that
lpb,low ping b*****d
ex-gf,Ex-Girl Friend
idnwths,i do not want to have sex
dgypiab,don't get your panties in a bunch
t4m,Transgender for Male
no pro,no problem
mtfbwy,May the Force be with you
syiab,see you in a bit
0day,software illegally obtained before it was released
pns,penis
syiaf,see you in a few
shiat,s**t
wayut,what are you up to
dupe,duplicate
dillifc,do I look like I f**king care
sowi,sorry
g2cu,glad to see you
probz,probably
d8,date
l8s,later
d2,Diablo 2
t4a,thanks for asking
liita,love is in the air
myspce,myspace
wtly,Welcome to last year
zex,sex
u'll,you will
smt,suck my tits
fukkin,f**king
hru,how are you
gokw,God Only Knows Why
occ,Occupation
w.e,Whatever
ocd,obsessive compulsive disorder
hrs,hours
giyf,google is your friend
ricl,rolling in chair laughing
oday,software illegally obtained before it was released
ykisa,Your knight in shining armor
h4kz0r5,hackers
313373,elite
hre,here
sus,see you soon
gangsta,gangster
yapa,yet another pointless acronym
dn,don't know
dl,download
dm,deathmatch
tghig,thank god husband is gone
dk,don't know
dh,dickhead
rotglmao,rolling on the ground laughing my a** off
df,Dumb f**k
dg,don't go
dd,don't die
db,database
dc,don't care
da,the
kyag,Kiss Your a** Goodbye
rofpml,rolling on the floor pissing myself laughing
typo,typing mistake
lshid,laugh so hard i die
gl hf,good luck, have fun
dw,don't worry
dt,double team
alryt,alright
dp,display picture
qotd,quote of the day
twss,That's what she said
bau,back at you
kcco,keep calm chive on
t3h,the
emm,email me
b00n,new person
emo,emotional
twsy,That was so yeterday
bbl8a,Be Back Later
wthaydwmgf,what the hell are you doing with my girlfriend
jcath,Just chilling at the house
baf,bring a friend
dgara,don't give a rats a**
bab,Big a** Boobs
emp,eat my p***y
tker,team killer
ih8p,I hate parents
tbfh,to be f**king honest
sux,sucks
slo,slow
effing,f**king
bah,I don't really care
fbtw,Fine Be That Way
wygam,When you get a minute
bf's,boyfriend's
ybs,you'll be sorry
shizzle,s**t
ayst,are you still there
vbg,very big grin
w2ho,want to hang out
rotfwlmao,rolling on the floor while laughing my a** off
bm4l,best mates for life
mohaa,Medal of Honor Allied Assult
wygac,when you get a chance
hiybbprqag,copying somebody else's search results
ysati,you suck at the internet
myke,man-dyke
btch,b***h
lezzzie,lesbian
btcn,Better than Chuck Norris
faic,For All I Care
pz,peace
qft&gj,quoted for truth and great justice
foss,free, open source software
nub,inexperienced person
aysm,are you shitting me?
ggp,gotta go pee
gdih,Go die in hell
gosad,go suck a d**k
omwts,on my way to school
uryyfm,you are too wise for me
sorta,sort of
lotr,lord of the rings
iirc,if I recall correctly
irt,in reply to
damhikt,don't ask me how I know this
eotw,end of the world
whats ^,whats up
c2c,care to chat?
loti,laughing on the inside
r,are
irl,in real life
yew,you
2morro,tomorrow
mul,miss you lots
lsfw,Less Safe For Work
irc,internet relay chat
lotf,laughing on the floor
jfwy,just f**king with you
oink,Oh I Never Knew
ydufc,Why do f**king care?
jcam,just checking away message
omg,oh my God
tmth,too much to handle
suka,Sucker
fiik,f**ked If I Know
newb,someone who is new
omj,oh my jesus
gnfpwlbn,good news for people who love bad news
skwl,school
cmplcdd,complicated
shexi,sexy
umfriend,sexual partner
fiic,f**ked If I Care
fugly,f**king ugly
cfas,care for a secret?
omw,on my way
jj/k,just joking
g4y,good for you
wth,what the heck
lawls,laughing out loud with a southern drawl
wtfit,what the f**k is that
lmap,leave me alone please
wy,Why?
wtbh,What the bloody hell
yasf,you are so funny
cos,because
tfti,thanks for the information
unt,until next time
wtfwtd,what the f**k was that dude
ashole,a**h**e
smfpos,stupid mother f**king piece of s**t
coz,because
bbifs,be back in a few seconds
fny,funny
ili,i love it
g3y,gay
gigig,get it got it good
cob,close of business
cod,Call of Duty
tt4n,ta ta for now
cof,Crying on the floor
pita,pain in the a**
gsad,go suck a d**k
pleze,please
ybbg,Your Brother By Grace
col,crying out loud
coo,cool
ily,i love you
yatb,you are the best
nmjb,nothing much just bored
iygm,if you get me
xbl,xbox live
lshismp,laughed so hard I s**t my pants
tut,take your time
tmnt,teenage mutant ninja turtles
f.u.,f**k you
fkin,f**king
kwl,cool
o/y,oh yeah
ggal,go get a life
yaai,You are an idiot
sah,sexy as hell
ofc,of course
p3n0r,penis
diff,difference
omgty,Oh my god thank you
ihat3u,I hate you
idop,it depends on price
of10,often
tcp/ip,transmission control protocol/internet protocol
g'nite,good night
sploits,exploits
frk,freak
noes,no
gn8,good night
gtfon,Get the f**k out noob
gtfoi,get the f**k over it
frm,from
pihb,pee in his/her butt
fuah,f**k you a** hole
mpih,my penis is hard
wuld,would
tsc,that's so cool
nayl,in a while
smithwaws,Smack me in the head with a wooden spoon
4us,for us
awsm,awesome
w/u,with you
lifo,last in first out
lolci,laughing out loud, crying inside
hsik,how should i know
f00k,f**k.
wotv,What's on Television?
otfl,on the floor laughing
dotc,dancing on the ceiling
wazza,what's up
chut,p***y
otfp,on the f**king phone
otft,over the f**king top
lofi,uncool
mcs,My computer sucks
kotc,kiss on the cheek
cunt,vagina
abft,About f**king Time
gnr,Guns n' roses
idrgaff,i don't really give a flying f**k
ihnc,i have no clue
qoolz,cool
hnic,head n****r in charge
gyal,girl
ihni,i have no idea
m4f,male for female
sellin,selling
roflmao,rolling on the floor laughing my a** off
slp,sleep
wlc,welcome
iw2mu,I want to meet you
aim,AOL instant messanger
idkh2s,i don't know how to spell
j/c,just curious
dkdc,don't know, don't care
biznitch,b***h
b-day,birthday
rtbq,Read The Blinking Question
slf,sexy little f**k
gnn,get naked now
gno,going to do
lyvm,love you very much
iz,is
n2n,need to know
n2m,not too much
ftmp,For the most part
n2g,Not too good
bfftddup,best friends forever till death do us part
ilshipmp,I laughed so hard I peed my pants
nfbsk,not for british school kids
ih,it happens
ik,i know
ij,indide joke
im,Instant Message
shiznit,s**t
ilyf,I'll Love You Forever
tmsaisti,That's my story and I'm sticking to it.
nekkid,naked
ic,I see
hbd,happy birthday
ilyl,i love you loads
ilym, i love you more
ig,I guess
jebus,Jesus
hldn,hold on
npi,no pun intended
f4c3,face
ianars,I am not a rocket scientist
pliz,please
wgo,what's going on
wanking,Masturbating
ttynl,talk to you never loser
dftba,don't forget to be awesome
rotflaviab,rolling on the floor laughing and vomiting in a bucket
ccna,Cisco Certified Network Associate
ggnore,good game no rematch
pasii,put a sock in it
dhv,Demonstration of Higher Value
shawty,girl
j/o,jackoff
mcse,Microsoft Certified Systems Engineer
uradrk,you're a dork
wthiwwu,What the hell is wrong with you
ttul8r,Talk to you later
dpmo,don't piss me off
i8,alright
evry1,every one
ello,hello
jkz,jokes
cul8r,See You Later
kis,keep it simple
kir,kid in room
x treme,extreme
aightz,alright
ayok,are you okay
cw2cu,can`t wait to see you
iykwim,if you know what I mean
jks,jokes
jkl,just kidding loser
jkn,joking
smdb,suck my d**k b***h
pwos,parent was over sholder
kic,keep it clean
i ,I love you
kia,Killed In Action
